Lat,Lon,Mw
43.723,11.767000000000001,4.4
43.836999999999996,13.017999999999999,4.4
43.51,12.217,5.89
42.351000000000006,13.399000000000001,5.33
42.95,12.860999999999999,5.57
42.532,12.714,5.06
43.025,12.811,5.33
43.318000000000005,11.332,3.7
43.181999999999995,13.443,4.7
41.918,12.870999999999999,4.63
43.534,11.873,4.96
44.614,11.67,5.45
43.343,11.417,4.85
43.077,11.651,4.86
44.771,10.779000000000002,4.16
43.193000000000005,13.151,6.18
42.955,12.704,5.1
44.466,11.421,4.9
43.541000000000004,10.774000000000001,4.16
43.085,11.535,5.15
42.505,13.550999999999998,3.93
43.605,11.110999999999999,4.86
42.528999999999996,13.645999999999999,5.42
